bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
5015539-0,2.3,befriedigend,447854.358,5648870.932,50.98905909242533,8.257033175519112
5016510-0,2.4,befriedigend,460864.168,5641576.654,50.924499650840325,8.44316939417008
5016878-0,2.2,befriedigend,462633.272,5641132.187,50.920620212694296,8.468384840003989
5016888-A,2.3,befriedigend,462519.656,5641098.324,50.92030833866769,8.46677198422715
5017628-1,2.3,befriedigend,465287.505,5640978.223,50.919401531736426,8.506159620562817
5017629-0,3.0,nicht ausreichend,465308.894,5640678.622,50.9167087182019,8.506492398550245
5017637-0,2.2,befriedigend,466685.883,5639662.701,50.90765436931998,8.526173158785099
5018512-0,2.2,befriedigend,480084.24,5645645.952,50.96207652705767,8.716407680797888
5018515-0,2.9,ausreichend,480715.984,5646652.036,50.971145179835844,8.72535000213176
5019547-0,2.6,ausreichend,493435.354,5639674.587,50.90868536187659,8.906629155288334
5020519-0,2.4,befriedigend,510571.181,5649696.525,50.99874857234507,9.150647849962992
5020529-0,2.4,befriedigend,504428.192,5644295.212,50.95025715875671,9.063039608976673
5021505-0,2.5,ausreichend,513014.703,5640564.152,50.91657544919111,9.185143206279504
5021516-0,2.8,ausreichend,519077.8,5642915.371,50.93755020116024,9.271517162841075
5021517-0,2.3,befriedigend,520718.473,5644384.553,50.950705150979175,9.294950652828232
5021518-0,2.7,ausreichend,522211.458,5647063.367,50.97473856602261,9.316368189938984
5021520-0,2.1,befriedigend,522581.728,5647503.181,50.97867914506419,9.32166935365578
5021521-0,2.6,ausreichend,522718.615,5647568.426,50.97926046813647,9.323623309550696
5021523-0,2.3,befriedigend,523238.002,5647863.855,50.98189634800231,9.331040660691999
5021564-B,2.1,befriedigend,512785.839,5640196.818,50.91327728322844,9.181874598859627
5021601-0,2.2,befriedigend,517867.281,5641526.591,50.92510035564631,9.254221034616254
5021604-0,2.3,befriedigend,517661.908,5641082.473,50.92111293492703,9.251277442702708
5021638-0,2.3,befriedigend,517256.254,5641112.864,50.9213985036569,9.24550766482032
5021650-0,2.2,befriedigend,517558.553,5640513.957,50.91600368654718,9.249779646287818
5021651-0,2.5,ausreichend,517564.171,5640266.795,50.913780899797565,9.249847663561507
5022514-2,2.8,ausreichend,533637.753,5646580.741,50.96984455747936,9.479068553398426
5022529-0,2.3,befriedigend,533118.447,5648006.427,50.982694753909996,9.47180276493016
5023502-0,2.3,befriedigend,542004.313,5639499.935,50.905623754364456,9.597402366782802
5023525-3,2.6,ausreichend,538446.153,5641652.426,50.92522738736892,9.547026220467393
5023527-1,2.6,ausreichend,539737.587,5640627.279,50.91592155467355,9.565288574156082
