bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
4525531-2,1.9,gut,560612.744,5702908.851,51.47409051756226,9.872734937949541
4525531-3,2.0,befriedigend,560612.744,5702908.851,51.47409051756226,9.872734937949541
4525545-0,1.9,gut,564988.007,5705128.49,51.49356059164601,9.936132139788338
4525546-1,1.8,gut,562292.801,5697353.915,51.42396522150863,9.895944091773417
4525546-2,1.7,gut,562292.801,5697353.915,51.42396522150863,9.895944091773417
4525548-2,1.7,gut,561039.107,5699133.685,51.44010315328039,9.878221539553099
4525549-1,1.9,gut,562029.845,5697611.767,51.426312347909416,9.892207692384309
4525553-2,2.0,befriedigend,563594.133,5695235.132,51.4047713149642,9.914278244003645
4525554-1,2.0,befriedigend,564449.736,5694753.061,51.40034056684888,9.926489751409434
4525554-2,1.9,gut,564449.736,5694753.061,51.40034056684888,9.926489751409434
4525556-2,2.0,befriedigend,562168.023,5697469.115,51.42501465750663,9.894169885851523
4525558-2,1.8,gut,560714.892,5703635.186,51.48060983452571,9.874330387901612
4525559-2,2.0,befriedigend,560805.528,5704303.957,51.48661281803375,9.875750606427864
4525560-1,1.7,gut,560768.26,5704027.616,51.484132325284726,9.875166357181318
4525560-2,1.8,gut,560769.077,5704033.623,51.48418624463827,9.87517915578466
4525562-1,1.1,sehr gut,560937.599,5705560,51.497891285572145,9.877869400267882
4525562-3,2.0,befriedigend,560903.456,5705544.265,51.49775349726573,9.877374880599207
4525567-0,2.0,befriedigend,560525.916,5702297.7,51.468605119956614,9.871380207740854
4525952-0,2.0,befriedigend,562628.48,5695996.102,51.41172047735758,9.900531521337617
4525965-2,2.0,befriedigend,563031.417,5695999.625,51.41170749869049,9.906325180462131
4526807-1,1.9,gut,571354.048,5694808.782,51.400014980611104,10.02573683577587
4526807-2,1.8,gut,571354.048,5694808.782,51.400014980611104,10.02573683577587
4526808-1,1.8,gut,579247.981,5695151.753,51.4020503601162,10.139268308085608
4526808-2,1.9,gut,579247.981,5695151.753,51.4020503601162,10.139268308085608
4526809-1,2.0,befriedigend,580145.093,5695685.519,51.406722886761365,10.152282998576862
4526809-2,2.0,befriedigend,580145.093,5695685.519,51.406722886761365,10.152282998576862
4526810-0,1.5,gut,580516.997,5695842.368,51.40808028094587,10.157664474047884
4527820-0,1.8,gut,588562.45,5702614.732,51.46776166762343,10.275005898678918
4527821-1,2.0,befriedigend,581465.3,5696023.515,51.40957334441771,10.171337640062315
4527822-1,1.9,gut,582799.785,5695707.682,51.406540728815315,10.190447194244976
4527822-2,1.9,gut,582799.785,5695707.682,51.406540728815315,10.190447194244976
4527823-1,1.9,gut,583874.972,5695455.089,51.40411193976874,10.20584222127047
4527823-2,1.9,gut,583874.972,5695455.089,51.40411193976874,10.20584222127047
4527825-0,1.8,gut,584868.451,5695411.391,51.40357130237606,10.220111219778026
